Label of tree,type,Twig a or b,Date,Live scale shoot 1,dead scale shoot 1,Live scale shoot 2,dead scale shoot 2,Live scale shoot 3,dead scale shoot 3,presence of parasitism,scale on new growth?,presence of fungus,encarsia,notes,
D-A3d,Crypto,a,July,,,,,,,no,no,no,,,
D-A3d,Crypto,b,July,,,,,,,no,no,no,,,
D-B3a,Crypto,a,July,0,2,0,1,0,6,yes,no,no,2,,
D-B3a,Crypto,b,July,0,0,1,0,0,0,no,no,no,,,
D-B3b,Crypto,a,July,0,29,0,27,3,13,no,no,no,1,,
D-B3b,Crypto,b,July,1,0,0,4,0,3,no,no,no,,,
D-B3c,Crypto,a,July,,,,,,,no,no,no,,,
D-B3c,Crypto,b,July,,,,,,,no,no,no,,,
D-B3d,Crypto,a,July,0,0,0,0,0,1,no,no,no,,,
D-B3d,Crypto,b,July,0,13,0,14,0,6,no,no,no,,,
D-C3a,Crypto,a,July,0,15,1,25,2,25,yes,yes,no,0,,
D-C3a,Crypto,b,July,,,,,,,no,no,no,,,
D-C3b,Crypto,a,July,,,,,,,no,no,no,0,,
D-C3b,Crypto,b,,,,,,,,,,,,,
D-C3c,Crypto,a,July,1,10,0,1,0,5,yes,yes,no,,,
D-C3c,Crypto,b,,,,,,,,,,,,,
D-C3d,Crypto,a,July,0,11,2,5,0,2,yes,yes,no,,,
D-C3d,Crypto,b,,,,,,,,,,,,,
D-D3a,Crypto,a,July,0,2,0,0,0,0,no,no,no,0,,
D-D3a,Crypto,b,July,,,,,,,no,no,no,,,
D-D3b,Crypto,a,July,0,13,0,9,0,23,yes,no,no,,,
D-D3b,Crypto,b,July,0,0,0,0,0,0,no,no,no,,,
D-D3c,Crypto,a,July,0,9,0,12,0,2,no,no,no,,,
D-D3c,Crypto,b,July,,,,,,,no,no,no,,,
D-D3d,Crypto,a,July,0,35,0,1,0,16,no,no,no,,,
D-D3d,Crypto,b,July,,,,,,,no,no,no,,,
D-A4a,Crypto,a,July,,,,,,,no,no,no,1,,
D-A4a,Crypto,b,July,,,,,,,no,no,no,,,
D-A4b,Crypto,a,July,1,16,,,2,26,yes ,no,no,1,,
D-A4b,Crypto,b,July,1,6,0,2,0,3,yes,no,no,,,
D-A4c,Crypto,a,July,0,1,0,1,0,1,no,no,no,,,
D-A4c,Crypto,b,July,0,5,0,10,0,6,yes,no,no,,,
D-A4d,Crypto,a,July,,,,,,,no,no,no,,,
D-A4d,Crypto,b,July,,,,,,,no,no,no,,,
D-B4a,Crypto,a,July,0,4,0,7,0,12,no,no,no,0,,
D-B4a,Crypto,b,July,0,43,0,50,0,28,yes,no,no,,,
D-B4b,Crypto,a,July,0,0,0,0,0,0,no,no,no,1,,
D-B4b,Crypto,b,July,0,5,0,7,0,1,no,no,no,,,
D-B4c,Crypto,a,July,0,6,0,2,0,1,no,no,no,,,
D-B4c,Crypto,b,July,0,3,0,2,0,0,no,no,no,,,
D-B4d,Crypto,a,July,0,23,0,10,0,8,no,no,no,,,
D-B4d,Crypto,b,July,0,5,0,11,0,2,no,no,no,,,
D-C4a,Crypto,a,July,0,1,0,3,0,0,yes,no,no,1,,
D-C4a,Crypto,b,July,,,,,,,no,no,no, ,,
D-C4b,Crypto,a,July,0,1,0,0,0,0,no,no,no,0,,
D-C4b,Crypto,b,July,,,,,,,no,no,no,,,
D-C4c,Crypto,a,July,0,0,0,0,0,0,no,no,no,,,
D-C4c,Crypto,b,July,,,,,,,no,no,no,,,
D-C4d,Crypto,a,July,0,0,0,2,1,0,no,no,no,,,
D-C4d,Crypto,b,July,,,,,,,no,no,no,,,
D-D4a,Crypto,a,July,0,24,0,25,1,14,yes,no,no,4,,
D-D4a,Crypto,b,July,,,,,,,no,no,no,,,
D-D4b,Crypto,a,July,0,36,1,56,0,19,yes,no,no,1,,
D-D4b,Crypto,b,July,,,,,,,no,no,no,,,
D-D4c,Crypto,a,July,0,7,1,9,1,16,yes,no,no,,,
D-D4c,Crypto,b,July,,,,,,,no,no,no,,,
D-D4d,Crypto,a,July,3,28,0,14,0,14,yes,no,no,,,
D-D4d,Crypto,b,July,,,,,,,no,no,no,,,
D-A1a,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-A1a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A1b,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-A1b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A1c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-A1c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A1d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-A1d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B1a,EHS,a,November,0,0,0,0,0,0,no,no,no,0,,
D-B1a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B1b,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-B1b,EHS,b,November,0,0,0,0,0,0,no,no,no,0,,
D-B1c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-B1c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B1d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-B1d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C1a,EHS,a,November,0,0,0,0,0,0,no,no,no,2,,
D-C1a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C1b,EHS,a,November,0,0,0,0,0,0,no,no,no,1,,
D-C1b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C1c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-C1c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C1d,EHS,a,November,0,0,0,0,0,0,yes,no,no,,,
D-C1d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-D1a,EHS,a,November,7,13,3,12,2,3,no,no,no,0,,
D-D1a,EHS,b,November,2,0,1,6,0,3,no,no,no,,,
D-D1b,EHS,a,November,5,15,3,6,1,10,no,no,no,0,,
D-D1b,EHS,b,November,0,7,0,2,1,18,no,no,no,,,
D-D1c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-D1c,EHS,b,November,3,4,3,7,0,10,no,no,no,,,
D-D1d,EHS,a,November,8,12,6,9,11,7,no,no,no,,,
D-D1d,EHS,b,November,9,8,1,4,3,6,no,no,no,,,
D-A2a,EHS,a,November,0,0,0,0,0,0,no,no,no,1,,
D-A2a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A2b,EHS,a,November,0,0,0,0,0,0,yes,no,no,1,,
D-A2b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A2c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-A2c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A2d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-A2d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B2a,EHS,a,November,0,0,0,0,0,0,no,no,no,0,,
D-B2a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B2b,EHS,a,November,0,0,0,0,0,0,no,no,no,1,,
D-B2b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B2c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-B2c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B2d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-B2d,EHS,b,November,0,1,0,0,0,0,no,no,no,,,
D-C2a,EHS,a,November,0,0,0,0,0,0,no,no,no,1,,
D-C2a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C2b,EHS,a,November,0,0,0,0,0,0,no,no,no,0,,
D-C2b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C2c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-C2c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C2d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-C2d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-D2a,EHS,a,November,0,0,0,0,0,0,no,no,no,1,,
D-D2a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-D2b,EHS,a,November,0,0,0,0,0,0,no,no,no,0,,
D-D2b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-D2c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-D2c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-D2d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-D2d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A3a,EHS,a,November,0,0,0,0,0,0,no,no,no,5,,
D-A3a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A3b,EHS,a,November,0,0,0,0,0,0,no,no,no,3,,
D-A3b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A3c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-A3c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A3d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-A3d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B3a,EHS,a,November,0,0,0,0,0,0,no,no,no,2,,
D-B3a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B3b,EHS,a,November,0,0,0,0,0,0,no,no,no,1,,
D-B3b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B3c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-B3c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B3d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-B3d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C3a,EHS,a,November,0,0,0,0,0,0,no,no,no,0,,
D-C3a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C3b,EHS,a,November,0,0,0,0,0,0,no,no,no,0,,
D-C3b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C3c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-C3c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C3d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-C3d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-D3a,EHS,a,November,0,0,0,0,0,0,no,no,no,0,,
D-D3a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-D3b,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-D3b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-D3c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-D3c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-D3d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-D3d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A4a,EHS,a,November,0,0,0,0,0,0,no,no,no,1,,
D-A4a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A4b,EHS,a,November,0,0,0,0,0,0,no,no,no,1,,
